"municipio","ano","populacao","cod_ibge"
"NOVA CANAÃ PAULISTA",2020,1937,3532843
"NOVA CASTILHO",2018,1167,3532868
"NOVA CASTILHO",2019,1172,3532868
"NOVA CASTILHO",2020,1176,3532868
"NOVA EUROPA",2018,10463,3532900
"NOVA EUROPA",2019,10605,3532900
"NOVA EUROPA",2020,10749,3532900
"NOVA GRANADA",2018,20578,3533007
"NOVA GRANADA",2019,20748,3533007
"NOVA GRANADA",2020,20918,3533007
"NOVA GUATAPORANGA",2018,2189,3533106
"NOVA GUATAPORANGA",2019,2190,3533106
"NOVA GUATAPORANGA",2020,2191,3533106
"NOVA INDEPENDÊNCIA",2018,3607,3533205
"NOVA INDEPENDÊNCIA",2019,3668,3533205
"NOVA INDEPENDÊNCIA",2020,3731,3533205
"NOVA LUZITÂNIA",2018,3936,3533304
"NOVA LUZITÂNIA",2019,3989,3533304
"NOVA LUZITÂNIA",2020,4044,3533304
"NOVA ODESSA",2018,56767,3533403
"NOVA ODESSA",2019,57399,3533403
"NOVA ODESSA",2020,58039,3533403
"NOVAIS",2018,5339,3533254
"NOVAIS",2019,5423,3533254
"NOVAIS",2020,5509,3533254
"NOVO HORIZONTE",2018,38504,3533502
"NOVO HORIZONTE",2019,38728,3533502
"NOVO HORIZONTE",2020,38954,3533502
"NUPORANGA",2018,7183,3533601
"NUPORANGA",2019,7225,3533601
"NUPORANGA",2020,7268,3533601
"OCAUÇU",2018,4148,3533700
"OCAUÇU",2019,4147,3533700
"OCAUÇU",2020,4146,3533700
"ÓLEO",2018,2550,3533809
"ÓLEO",2019,2538,3533809
"ÓLEO",2020,2527,3533809
"OLÍMPIA",2018,52055,3533908
"OLÍMPIA",2019,52285,3533908
"OLÍMPIA",2020,52516,3533908
"ONDA VERDE",2018,4159,3534005
"ONDA VERDE",2019,4192,3534005
"ONDA VERDE",2020,4225,3534005
"ORIENTE",2018,6231,3534104
"ORIENTE",2019,6248,3534104
"ORIENTE",2020,6265,3534104
"ORINDIÚVA",2018,6640,3534203
"ORINDIÚVA",2019,6752,3534203
"ORINDIÚVA",2020,6866,3534203
"ORLÂNDIA",2018,41801,3534302
"ORLÂNDIA",2019,42033,3534302
"ORLÂNDIA",2020,42266,3534302
"OSASCO",2018,677750,3534401
"OSASCO",2019,679356,3534401
"OSASCO",2020,680964,3534401
"OSCAR BRESSANE",2018,2518,3534500
"OSCAR BRESSANE",2019,2516,3534500
"OSCAR BRESSANE",2020,2514,3534500
"OSVALDO CRUZ",2018,31210,3534609
"OSVALDO CRUZ",2019,31236,3534609
"OSVALDO CRUZ",2020,31263,3534609
"OURINHOS",2018,109043,3534708
"OURINHOS",2019,109763,3534708
"OURINHOS",2020,110489,3534708
"OURO VERDE",2018,8174,3534807
"OURO VERDE",2019,8221,3534807
"OURO VERDE",2020,8268,3534807
"OUROESTE",2018,9515,3534757
"OUROESTE",2019,9645,3534757
"OUROESTE",2020,9777,3534757
"PACAEMBU",2018,13090,3534906
"PACAEMBU",2019,13073,3534906
"PACAEMBU",2020,13056,3534906
"PALESTINA",2018,11962,3535002
"PALESTINA",2019,12060,3535002
"PALESTINA",2020,12160,3535002
"PALMARES PAULISTA",2018,12594,3535101
"PALMARES PAULISTA",2019,12794,3535101
"PALMARES PAULISTA",2020,12997,3535101
"PALMEIRA D'OESTE",2018,9203,3535200
"PALMEIRA D'OESTE",2019,9166,3535200
"PALMEIRA D'OESTE",2020,9130,3535200
"PALMITAL",2018,21523,3535309
"PALMITAL",2019,21561,3535309
"PALMITAL",2020,21599,3535309
"PANORAMA",2018,15078,3535408
"PANORAMA",2019,15138,3535408
"PANORAMA",2020,15199,3535408
"PARAGUAÇU PAULISTA",2018,43812,3535507
"PARAGUAÇU PAULISTA",2019,43996,3535507
"PARAGUAÇU PAULISTA",2020,44180,3535507
"PARAIBUNA",2018,18060,3535606
"PARAIBUNA",2019,18145,3535606
"PARAIBUNA",2020,18230,3535606
"PARAÍSO",2018,6202,3535705
"PARAÍSO",2019,6235,3535705
"PARAÍSO",2020,6269,3535705
"PARANAPANEMA",2018,19517,3535804
"PARANAPANEMA",2019,19739,3535804
"PARANAPANEMA",2020,19962,3535804
"PARANAPUÃ",2018,3879,3535903
"PARANAPUÃ",2019,3886,3535903
"PARANAPUÃ",2020,3892,3535903
"PARAPUÃ",2018,10569,3536000
"PARAPUÃ",2019,10538,3536000
"PARAPUÃ",2020,10507,3536000
"PARDINHO",2018,6226,3536109
"PARDINHO",2019,6309,3536109
"PARDINHO",2020,6392,3536109
"PARIQUERA-AÇU",2018,19094,3536208
"PARIQUERA-AÇU",2019,19172,3536208
"PARIQUERA-AÇU",2020,19251,3536208
"PARISI",2018,2052,3536257
"PARISI",2019,2053,3536257
"PARISI",2020,2054,3536257
"PATROCÍNIO PAULISTA",2018,14174,3536307
"PATROCÍNIO PAULISTA",2019,14318,3536307
"PATROCÍNIO PAULISTA",2020,14463,3536307
"PAULICÉIA",2018,6988,3536406
"PAULICÉIA",2019,7067,3536406
"PAULICÉIA",2020,7146,3536406
"PAULÍNIA",2018,100915,3536505
"PAULÍNIA",2019,102956,3536505
"PAULÍNIA",2020,105037,3536505
"PAULISTÂNIA",2018,1772,3536570
"PAULISTÂNIA",2019,1771,3536570
"PAULISTÂNIA",2020,1769,3536570
"PAULO DE FARIA",2018,8528,3536604
"PAULO DE FARIA",2019,8525,3536604
"PAULO DE FARIA",2020,8521,3536604
"PEDERNEIRAS",2018,44775,3536703
"PEDERNEIRAS",2019,45171,3536703
"PEDERNEIRAS",2020,45570,3536703
"PEDRA BELA",2018,5930,3536802
"PEDRA BELA",2019,5947,3536802
"PEDRA BELA",2020,5964,3536802
"PEDRANÓPOLIS",2018,2445,3536901
"PEDRANÓPOLIS",2019,2433,3536901
"PEDRANÓPOLIS",2020,2422,3536901
"PEDREGULHO",2018,16167,3537008
"PEDREGULHO",2019,16223,3537008
"PEDREGULHO",2020,16279,3537008
"PEDREIRA",2018,45618,3537107
"PEDREIRA",2019,46081,3537107
"PEDREIRA",2020,46548,3537107
"PEDRINHAS PAULISTA",2018,2997,3537156
"PEDRINHAS PAULISTA",2019,3004,3537156
"PEDRINHAS PAULISTA",2020,3010,3537156
"PEDRO DE TOLEDO",2018,10814,3537206
"PEDRO DE TOLEDO",2019,10895,3537206
"PEDRO DE TOLEDO",2020,10977,3537206
"PENÁPOLIS",2018,60362,3537305
"PENÁPOLIS",2019,60568,3537305
"PENÁPOLIS",2020,60774,3537305
"PEREIRA BARRETO",2018,25314,3537404
"PEREIRA BARRETO",2019,25352,3537404
"PEREIRA BARRETO",2020,25391,3537404
"PEREIRAS",2018,8240,3537503
"PEREIRAS",2019,8333,3537503
"PEREIRAS",2020,8428,3537503
"PERUÍBE",2018,64892,3537602
"PERUÍBE",2019,65543,3537602
"PERUÍBE",2020,66201,3537602
"PIACATU",2018,5772,3537701
"PIACATU",2019,5832,3537701
"PIACATU",2020,5891,3537701
"PIEDADE",2018,53230,3537800
"PIEDADE",2019,53383,3537800
"PIEDADE",2020,53536,3537800
"PILAR DO SUL",2018,27867,3537909
"PILAR DO SUL",2019,28043,3537909
"PILAR DO SUL",2020,28221,3537909
"PINDAMONHANGABA",2018,160506,3538006
"PINDAMONHANGABA",2019,162051,3538006
"PINDAMONHANGABA",2020,163611,3538006
"PINDORAMA",2018,16049,3538105
"PINDORAMA",2019,16152,3538105
"PINDORAMA",2020,16255,3538105
"PINHALZINHO",2018,14433,3538204
"PINHALZINHO",2019,14593,3538204
"PINHALZINHO",2020,14755,3538204
"PIQUEROBI",2018,3534,3538303
"PIQUEROBI",2019,3534,3538303
"PIQUEROBI",2020,3535,3538303
"PIQUETE",2018,13718,3538501
"PIQUETE",2019,13683,3538501
"PIQUETE",2020,13647,3538501
"PIRACAIA",2018,26048,3538600
"PIRACAIA",2019,26167,3538600
"PIRACAIA",2020,26287,3538600
"PIRACICABA",2018,385155,3538709
"PIRACICABA",2019,387507,3538709
"PIRACICABA",2020,389873,3538709
"PIRAJU",2018,28571,3538808
"PIRAJU",2019,28572,3538808
"PIRAJU",2020,28574,3538808
"PIRAJUÍ",2018,23199,3538907
"PIRAJUÍ",2019,23228,3538907
"PIRAJUÍ",2020,23259,3538907
"PIRANGI",2018,10792,3539004
"PIRANGI",2019,10807,3539004
"PIRANGI",2020,10823,3539004
"PIRAPORA DO BOM JESUS",2018,18188,3539103
"PIRAPORA DO BOM JESUS",2019,18516,3539103
"PIRAPORA DO BOM JESUS",2020,18851,3539103
"PIRAPOZINHO",2018,26709,3539202
"PIRAPOZINHO",2019,26960,3539202
"PIRAPOZINHO",2020,27213,3539202
"PIRASSUNUNGA",2018,73027,3539301
"PIRASSUNUNGA",2019,73366,3539301
"PIRASSUNUNGA",2020,73706,3539301
"PIRATININGA",2018,12987,3539400
"PIRATININGA",2019,13100,3539400
"PIRATININGA",2020,13213,3539400
"PITANGUEIRAS",2018,37934,3539509
"PITANGUEIRAS",2019,38258,3539509
"PITANGUEIRAS",2020,38584,3539509
"PLANALTO",2018,5031,3539608
"PLANALTO",2019,5098,3539608
"PLANALTO",2020,5167,3539608
"PLATINA",2018,3439,3539707
"PLATINA",2019,3470,3539707
"PLATINA",2020,3501,3539707
"POÁ",2018,113719,3539806
"POÁ",2019,114625,3539806
"POÁ",2020,115538,3539806
"POLONI",2018,5615,3539905
"POLONI",2019,5641,3539905
"POLONI",2020,5667,3539905
"POMPÉIA",2018,21027,3540002
"POMPÉIA",2019,21154,3540002
"POMPÉIA",2020,21282,3540002
"PONGAÍ",2018,3368,3540101
"PONGAÍ",2019,3359,3540101
"PONGAÍ",2020,3351,3540101
"PONTAL",2018,47661,3540200
"PONTAL",2019,48465,3540200
"PONTAL",2020,49283,3540200
"PONTALINDA",2018,4409,3540259
"PONTALINDA",2019,4448,3540259
"PONTALINDA",2020,4487,3540259
"PONTES GESTAL",2018,2524,3540309
"PONTES GESTAL",2019,2526,3540309
"PONTES GESTAL",2020,2528,3540309
"POPULINA",2018,4037,3540408
"POPULINA",2019,4015,3540408
"POPULINA",2020,3995,3540408
"PORANGABA",2018,9122,3540507
"PORANGABA",2019,9215,3540507
"PORANGABA",2020,9310,3540507
"PORTO FELIZ",2018,51149,3540606
"PORTO FELIZ",2019,51422,3540606
"PORTO FELIZ",2020,51697,3540606
"PORTO FERREIRA",2018,53607,3540705
"PORTO FERREIRA",2019,53854,3540705
"PORTO FERREIRA",2020,54102,3540705
"POTIM",2018,20434,3540754
"POTIM",2019,20568,3540754
"POTIM",2020,20702,3540754
"POTIRENDABA",2018,16398,3540804
"POTIRENDABA",2019,16501,3540804
"POTIRENDABA",2020,16605,3540804
"PRACINHA",2018,2899,3540853
"PRACINHA",2019,2907,3540853
"PRACINHA",2020,2913,3540853
"PRADÓPOLIS",2018,20248,3540903
"PRADÓPOLIS",2019,20575,3540903
"PRADÓPOLIS",2020,20907,3540903
"PRAIA GRANDE",2018,306207,3541000
"PRAIA GRANDE",2019,311480,3541000
"PRAIA GRANDE",2020,316844,3541000
"PRATÂNIA",2018,5040,3541059
"PRATÂNIA",2019,5098,3541059
"PRATÂNIA",2020,5156,3541059
"PRESIDENTE ALVES",2018,4036,3541109
"PRESIDENTE ALVES",2019,4028,3541109
"PRESIDENTE ALVES",2020,4020,3541109
"PRESIDENTE BERNARDES",2018,13700,3541208
"PRESIDENTE BERNARDES",2019,13710,3541208
"PRESIDENTE BERNARDES",2020,13720,3541208
"PRESIDENTE EPITÁCIO",2018,42174,3541307
"PRESIDENTE EPITÁCIO",2019,42286,3541307
"PRESIDENTE EPITÁCIO",2020,42400,3541307
"PRESIDENTE PRUDENTE",2018,218544,3541406
"PRESIDENTE PRUDENTE",2019,219805,3541406
"PRESIDENTE PRUDENTE",2020,221073,3541406
"PRESIDENTE VENCESLAU",2018,38000,3541505
"PRESIDENTE VENCESLAU",2019,38002,3541505
"PRESIDENTE VENCESLAU",2020,38005,3541505
"PROMISSÃO",2018,38873,3541604
"PROMISSÃO",2019,39268,3541604
"PROMISSÃO",2020,39667,3541604
"QUADRA",2018,3616,3541653
"QUADRA",2019,3662,3541653
"QUADRA",2020,3708,3541653
"QUATÁ",2018,13710,3541703
"QUATÁ",2019,13822,3541703
"QUATÁ",2020,13935,3541703
"QUEIROZ",2018,3183,3541802
"QUEIROZ",2019,3230,3541802
"QUEIROZ",2020,3279,3541802
"QUELUZ",2018,12404,3541901
"QUELUZ",2019,12523,3541901
"QUELUZ",2020,12644,3541901
"QUINTANA",2018,6403,3542008
"QUINTANA",2019,6451,3542008
"QUINTANA",2020,6500,3542008
"RAFARD",2018,8893,3542107
"RAFARD",2019,8934,3542107
"RAFARD",2020,8976,3542107
"RANCHARIA",2018,28828,3542206
"RANCHARIA",2019,28837,3542206
"RANCHARIA",2020,28847,3542206
"REDENÇÃO DA SERRA",2018,3841,3542305
"REDENÇÃO DA SERRA",2019,3839,3542305
"REDENÇÃO DA SERRA",2020,3837,3542305
"REGENTE FEIJÓ",2018,19298,3542404
"REGENTE FEIJÓ",2019,19395,3542404
"REGENTE FEIJÓ",2020,19491,3542404
"REGINÓPOLIS",2018,7232,3542503
"REGINÓPOLIS",2019,7224,3542503
"REGINÓPOLIS",2020,7215,3542503
"REGISTRO",2018,54133,3542602
"REGISTRO",2019,54174,3542602
"REGISTRO",2020,54216,3542602
"RESTINGA",2018,7309,3542701
"RESTINGA",2019,7401,3542701
"RESTINGA",2020,7493,3542701
"RIBEIRA",2018,3257,3542800
"RIBEIRA",2019,3249,3542800
"RIBEIRA",2020,3242,3542800
"RIBEIRÃO BONITO",2018,12791,3542909
"RIBEIRÃO BONITO",2019,12874,3542909
"RIBEIRÃO BONITO",2020,12959,3542909
"RIBEIRÃO BRANCO",2018,17710,3543006
"RIBEIRÃO BRANCO",2019,17697,3543006
"RIBEIRÃO BRANCO",2020,17685,3543006
"RIBEIRÃO CORRENTE",2018,4587,3543105
"RIBEIRÃO CORRENTE",2019,4625,3543105
"RIBEIRÃO CORRENTE",2020,4664,3543105
"RIBEIRÃO DO SUL",2018,4371,3543204
"RIBEIRÃO DO SUL",2019,4366,3543204
"RIBEIRÃO DO SUL",2020,4360,3543204
"RIBEIRÃO DOS ÍNDIOS",2018,2148,3543238
"RIBEIRÃO DOS ÍNDIOS",2019,2145,3543238
"RIBEIRÃO DOS ÍNDIOS",2020,2141,3543238
"RIBEIRÃO GRANDE",2018,7493,3543253
"RIBEIRÃO GRANDE",2019,7501,3543253
"RIBEIRÃO GRANDE",2020,7510,3543253
"RIBEIRÃO PIRES",2018,117917,3543303
"RIBEIRÃO PIRES",2019,118441,3543303
"RIBEIRÃO PIRES",2020,118968,3543303
"RIBEIRÃO PRETO",2018,669180,3543402
"RIBEIRÃO PRETO",2019,676440,3543402
"RIBEIRÃO PRETO",2020,683777,3543402
"RIFAINA",2018,3460,3543600
"RIFAINA",2019,3464,3543600
"RIFAINA",2020,3468,3543600
"RINCÃO",2018,10476,3543709
"RINCÃO",2019,10486,3543709
"RINCÃO",2020,10496,3543709
"RINÓPOLIS",2018,9757,3543808
"RINÓPOLIS",2019,9738,3543808
"RINÓPOLIS",2020,9720,3543808
"RIO CLARO",2018,198330,3543907
"RIO CLARO",2019,199765,3543907
"RIO CLARO",2020,201212,3543907
"RIO DAS PEDRAS",2018,33493,3544004
"RIO DAS PEDRAS",2019,33951,3544004
"RIO DAS PEDRAS",2020,34416,3544004
"RIO GRANDE DA SERRA",2018,48648,3544103
"RIO GRANDE DA SERRA",2019,49229,3544103
"RIO GRANDE DA SERRA",2020,49816,3544103
"RIOLÂNDIA",2018,11256,3544202
"RIOLÂNDIA",2019,11342,3544202
"RIOLÂNDIA",2020,11431,3544202
"RIVERSUL",2018,5779,3543501
"RIVERSUL",2019,5742,3543501
"RIVERSUL",2020,5705,3543501
"ROSANA",2018,18588,3544251
"ROSANA",2019,18487,3544251
"ROSANA",2020,18387,3544251
"ROSEIRA",2018,10439,3544301
"ROSEIRA",2019,10540,3544301
"ROSEIRA",2020,10642,3544301
"RUBIÁCEA",2018,3034,3544400
"RUBIÁCEA",2019,3070,3544400
"RUBIÁCEA",2020,3106,3544400
"RUBINÉIA",2018,2967,3544509
"RUBINÉIA",2019,2978,3544509
"RUBINÉIA",2020,2989,3544509
"SABINO",2018,5422,3544608
"SABINO",2019,5445,3544608
"SABINO",2020,5468,3544608
"SAGRES",2018,2363,3544707
"SAGRES",2019,2363,3544707
"SAGRES",2020,2362,3544707
"SALES",2018,5942,3544806
"SALES",2019,5995,3544806
"SALES",2020,6050,3544806
"SALES OLIVEIRA",2018,11342,3544905
"SALES OLIVEIRA",2019,11430,3544905
"SALES OLIVEIRA",2020,11518,3544905
"SALESÓPOLIS",2018,16590,3545001
"SALESÓPOLIS",2019,16713,3545001
"SALESÓPOLIS",2020,16838,3545001
"SALMOURÃO",2018,5053,3545100
"SALMOURÃO",2019,5085,3545100
"SALMOURÃO",2020,5117,3545100
"SALTINHO",2018,7721,3545159
"SALTINHO",2019,7790,3545159
"SALTINHO",2020,7860,3545159
"SALTO",2018,113416,3545209
"SALTO",2019,114389,3545209
"SALTO",2020,115372,3545209
"SALTO DE PIRAPORA",2018,43433,3545308
"SALTO DE PIRAPORA",2019,43826,3545308
"SALTO DE PIRAPORA",2020,44223,3545308
"SALTO GRANDE",2018,9029,3545407
"SALTO GRANDE",2019,9062,3545407
"SALTO GRANDE",2020,9095,3545407
"SANDOVALINA",2018,4108,3545506
"SANDOVALINA",2019,4160,3545506
"SANDOVALINA",2020,4211,3545506
"SANTA ADÉLIA",2018,14787,3545605
"SANTA ADÉLIA",2019,14840,3545605
"SANTA ADÉLIA",2020,14892,3545605
"SANTA ALBERTINA",2018,5685,3545704
"SANTA ALBERTINA",2019,5678,3545704
"SANTA ALBERTINA",2020,5672,3545704
"SANTA BÁRBARA D'OESTE",2018,187109,3545803
"SANTA BÁRBARA D'OESTE",2019,187926,3545803
"SANTA BÁRBARA D'OESTE",2020,188745,3545803
"SANTA BRANCA",2018,14099,3546009
"SANTA BRANCA",2019,14138,3546009
"SANTA BRANCA",2020,14179,3546009
"SANTA CLARA D'OESTE",2018,2024,3546108
"SANTA CLARA D'OESTE",2019,2015,3546108
"SANTA CLARA D'OESTE",2020,2006,3546108
"SANTA CRUZ DA CONCEIÇÃO",2018,4280,3546207
"SANTA CRUZ DA CONCEIÇÃO",2019,4315,3546207
"SANTA CRUZ DA CONCEIÇÃO",2020,4349,3546207
"SANTA CRUZ DA ESPERANÇA",2018,2054,3546256
"SANTA CRUZ DA ESPERANÇA",2019,2065,3546256
"SANTA CRUZ DA ESPERANÇA",2020,2077,3546256
"SANTA CRUZ DAS PALMEIRAS",2018,32987,3546306
"SANTA CRUZ DAS PALMEIRAS",2019,33356,3546306
"SANTA CRUZ DAS PALMEIRAS",2020,33729,3546306
"SANTA CRUZ DO RIO PARDO",2018,45671,3546405
"SANTA CRUZ DO RIO PARDO",2019,45890,3546405
"SANTA CRUZ DO RIO PARDO",2020,46110,3546405
"SANTA ERNESTINA",2018,5532,3546504
"SANTA ERNESTINA",2019,5528,3546504
"SANTA ERNESTINA",2020,5525,3546504
"SANTA FÉ DO SUL",2018,30503,3546603
"SANTA FÉ DO SUL",2019,30653,3546603
"SANTA FÉ DO SUL",2020,30804,3546603
"SANTA GERTRUDES",2018,25266,3546702
"SANTA GERTRUDES",2019,25723,3546702
"SANTA GERTRUDES",2020,26189,3546702
"SANTA ISABEL",2018,54191,3546801
"SANTA ISABEL",2019,54637,3546801
"SANTA ISABEL",2020,55086,3546801
"SANTA LÚCIA",2018,8503,3546900
"SANTA LÚCIA",2019,8532,3546900
"SANTA LÚCIA",2020,8562,3546900
"SANTA MARIA DA SERRA",2018,5992,3547007
"SANTA MARIA DA SERRA",2019,6066,3547007
"SANTA MARIA DA SERRA",2020,6141,3547007
"SANTA MERCEDES",2018,2814,3547106
"SANTA MERCEDES",2019,2814,3547106
"SANTA MERCEDES",2020,2813,3547106
"SANTA RITA D'OESTE",2018,2432,3547403
"SANTA RITA D'OESTE",2019,2418,3547403
"SANTA RITA D'OESTE",2020,2404,3547403
"SANTA RITA DO PASSA QUATRO",2018,26408,3547502
"SANTA RITA DO PASSA QUATRO",2019,26397,3547502
"SANTA RITA DO PASSA QUATRO",2020,26385,3547502
"SANTA ROSA DE VITERBO",2018,25264,3547601
"SANTA ROSA DE VITERBO",2019,25434,3547601
"SANTA ROSA DE VITERBO",2020,25604,3547601
"SANTA SALETE",2018,1443,3547650
"SANTA SALETE",2019,1441,3547650
"SANTA SALETE",2020,1440,3547650
"SANTANA DA PONTE PENSA",2018,1532,3547205
"SANTANA DA PONTE PENSA",2019,1520,3547205
"SANTANA DA PONTE PENSA",2020,1509,3547205
"SANTANA DE PARNAÍBA",2018,132317,3547304
"SANTANA DE PARNAÍBA",2019,135194,3547304
"SANTANA DE PARNAÍBA",2020,138132,3547304
"SANTO ANASTÁCIO",2018,20179,3547700
"SANTO ANASTÁCIO",2019,20153,3547700
"SANTO ANASTÁCIO",2020,20127,3547700
"SANTO ANDRÉ",2018,690551,3547809
"SANTO ANDRÉ",2019,692207,3547809
"SANTO ANDRÉ",2020,693867,3547809
"SANTO ANTÔNIO DA ALEGRIA",2018,6572,3547908
"SANTO ANTÔNIO DA ALEGRIA",2019,6605,3547908
"SANTO ANTÔNIO DA ALEGRIA",2020,6637,3547908
"SANTO ANTÔNIO DE POSSE",2018,22424,3548005
"SANTO ANTÔNIO DE POSSE",2019,22635,3548005
"SANTO ANTÔNIO DE POSSE",2020,22849,3548005
"SANTO ANTÔNIO DO ARACANGUÁ",2018,8135,3548054
"SANTO ANTÔNIO DO ARACANGUÁ",2019,8193,3548054
"SANTO ANTÔNIO DO ARACANGUÁ",2020,8252,3548054
"SANTO ANTÔNIO DO JARDIM",2018,5842,3548104
"SANTO ANTÔNIO DO JARDIM",2019,5834,3548104
"SANTO ANTÔNIO DO JARDIM",2020,5826,3548104
"SANTO ANTÔNIO DO PINHAL",2018,6596,3548203
"SANTO ANTÔNIO DO PINHAL",2019,6612,3548203
"SANTO ANTÔNIO DO PINHAL",2020,6628,3548203
"SANTO EXPEDITO",2018,2939,3548302
"SANTO EXPEDITO",2019,2956,3548302
"SANTO EXPEDITO",2020,2972,3548302
"SANTÓPOLIS DO AGUAPEÍ",2018,4593,3548401
"SANTÓPOLIS DO AGUAPEÍ",2019,4630,3548401
"SANTÓPOLIS DO AGUAPEÍ",2020,4668,3548401
"SANTOS",2018,426646,3548500
"SANTOS",2019,427673,3548500
"SANTOS",2020,428703,3548500
"SÃO BENTO DO SAPUCAÍ",2018,10510,3548609
"SÃO BENTO DO SAPUCAÍ",2019,10520,3548609
"SÃO BENTO DO SAPUCAÍ",2020,10530,3548609
"SÃO BERNARDO DO CAMPO",2018,803771,3548708
"SÃO BERNARDO DO CAMPO",2019,807917,3548708
"SÃO BERNARDO DO CAMPO",2020,812086,3548708
"SÃO CAETANO DO SUL",2018,150988,3548807
"SÃO CAETANO DO SUL",2019,151116,3548807
"SÃO CAETANO DO SUL",2020,151244,3548807
"SÃO CARLOS",2018,238834,3548906
"SÃO CARLOS",2019,240726,3548906
"SÃO CARLOS",2020,242632,3548906
"SÃO FRANCISCO",2018,2700,3549003
"SÃO FRANCISCO",2019,2689,3549003
"SÃO FRANCISCO",2020,2677,3549003
"SÃO JOÃO DA BOA VISTA",2018,86679,3549102
"SÃO JOÃO DA BOA VISTA",2019,87008,3549102
"SÃO JOÃO DA BOA VISTA",2020,87340,3549102
"SÃO JOÃO DAS DUAS PONTES",2018,2492,3549201
"SÃO JOÃO DAS DUAS PONTES",2019,2485,3549201
"SÃO JOÃO DAS DUAS PONTES",2020,2476,3549201
"SÃO JOÃO DE IRACEMA",2018,1838,3549250
"SÃO JOÃO DE IRACEMA",2019,1844,3549250
"SÃO JOÃO DE IRACEMA",2020,1850,3549250
"SÃO JOÃO DO PAU D'ALHO",2018,2005,3549300
"SÃO JOÃO DO PAU D'ALHO",2019,1995,3549300
"SÃO JOÃO DO PAU D'ALHO",2020,1985,3549300
"SÃO JOAQUIM DA BARRA",2018,49569,3549409
"SÃO JOAQUIM DA BARRA",2019,49921,3549409
"SÃO JOAQUIM DA BARRA",2020,50274,3549409
"SÃO JOSÉ DA BELA VISTA",2018,8658,3549508
"SÃO JOSÉ DA BELA VISTA",2019,8692,3549508
"SÃO JOSÉ DA BELA VISTA",2020,8727,3549508
"SÃO JOSÉ DO BARREIRO",2018,4069,3549607
"SÃO JOSÉ DO BARREIRO",2019,4069,3549607
"SÃO JOSÉ DO BARREIRO",2020,4070,3549607
"SÃO JOSÉ DO RIO PARDO",2018,52960,3549706
"SÃO JOSÉ DO RIO PARDO",2019,53083,3549706
"SÃO JOSÉ DO RIO PARDO",2020,53206,3549706
"SÃO JOSÉ DO RIO PRETO",2018,440796,3549805
"SÃO JOSÉ DO RIO PRETO",2019,444346,3549805
"SÃO JOSÉ DO RIO PRETO",2020,447924,3549805
"SÃO JOSÉ DOS CAMPOS",2018,695163,3549904
"SÃO JOSÉ DOS CAMPOS",2019,702866,3549904
"SÃO JOSÉ DOS CAMPOS",2020,710654,3549904
"SÃO LOURENÇO DA SERRA",2018,15246,3549953
"SÃO LOURENÇO DA SERRA",2019,15412,3549953
"SÃO LOURENÇO DA SERRA",2020,15579,3549953
"SÃO LUIZ DO PARAITINGA",2018,10531,3550001
"SÃO LUIZ DO PARAITINGA",2019,10549,3550001
"SÃO LUIZ DO PARAITINGA",2020,10569,3550001
"SÃO MANUEL",2018,39326,3550100
"SÃO MANUEL",2019,39450,3550100
"SÃO MANUEL",2020,39574,3550100
"SÃO MIGUEL ARCANJO",2018,31872,3550209
"SÃO MIGUEL ARCANJO",2019,31936,3550209
"SÃO MIGUEL ARCANJO",2020,32000,3550209
"SÃO PAULO",2018,11753659,3550308
"SÃO PAULO",2019,11811516,3550308
"SÃO PAULO",2020,11869660,3550308
"SÃO PEDRO",2018,33725,3550407
"SÃO PEDRO",2019,33966,3550407
"SÃO PEDRO",2020,34208,3550407
"SÃO PEDRO DO TURVO",2018,7329,3550506
"SÃO PEDRO DO TURVO",2019,7348,3550506
"SÃO PEDRO DO TURVO",2020,7369,3550506
"SÃO ROQUE",2018,85844,3550605
"SÃO ROQUE",2019,86636,3550605
"SÃO ROQUE",2020,87435,3550605
"SÃO SEBASTIÃO",2018,84569,3550704
"SÃO SEBASTIÃO",2019,85843,3550704
"SÃO SEBASTIÃO",2020,87135,3550704
"SÃO SEBASTIÃO DA GRAMA",2018,11952,3550803
"SÃO SEBASTIÃO DA GRAMA",2019,11944,3550803
"SÃO SEBASTIÃO DA GRAMA",2020,11936,3550803
"SÃO SIMÃO",2018,14742,3550902
"SÃO SIMÃO",2019,14794,3550902
"SÃO SIMÃO",2020,14847,3550902
"SÃO VICENTE",2018,352794,3551009
"SÃO VICENTE",2019,355352,3551009
"SÃO VICENTE",2020,357929,3551009
"SARAPUÍ",2018,9890,3551108
"SARAPUÍ",2019,9999,3551108
"SARAPUÍ",2020,10110,3551108
"SARUTAIÁ",2018,3639,3551207
"SARUTAIÁ",2019,3642,3551207
"SARUTAIÁ",2020,3646,3551207
"SEBASTIANÓPOLIS DO SUL",2018,3250,3551306
"SEBASTIANÓPOLIS DO SUL",2019,3271,3551306
"SEBASTIANÓPOLIS DO SUL",2020,3293,3551306
"SERRA AZUL",2018,12070,3551405
"SERRA AZUL",2019,12175,3551405
"SERRA AZUL",2020,12282,3551405
"SERRA NEGRA",2018,27255,3551603
"SERRA NEGRA",2019,27347,3551603
"SERRA NEGRA",2020,27440,3551603
"SERRANA",2018,43352,3551504
"SERRANA",2019,43890,3551504
"SERRANA",2020,44434,3551504
"SERTÃOZINHO",2018,120116,3551702
